,Lemma,TF-IDF
947,コシ,0
948,是,0
949,想,0
950,得,0
951,イタル,0
952,易,0
953,失,0
954,願う,5.4395391111288975e-06
955,将,0
956,黒,0
957,暗,0
958,深い,9.779782174727388e-06
959,切り裂く,0
960,奏,0
961,歌,2.268057159901702e-05
962,温暖,0
963,涙,0
964,流下,0
965,奏でる,0
966,賛美,0
967,温かい,9.788080332364788e-05
968,零れ落ちる,0
969,限り,2.5801578848579254e-05
970,向き,0
971,仰望,0
972,天空,0
973,仁,0
974,空,1.4920894825119133e-05
975,仰ぐ,0
976,歩く,6.228888690872625e-05
977,憎い,0
978,友,0
979,切ない,0
980,揺れる,0
981,隙間,0
982,そっと,0
983,忍び込む,0
984,孤高,0
985,王子,0
986,安らぐ,0
987,訪れる,0
988,只,6.940453825640696e-06
989,一味,0
990,祈祷,0
991,尽くし,0
992,答え,0
993,決まる,3.6263594074192647e-06
994,血,0
995,分ける,0
996,得体,0
997,賢い,0
998,怖い,6.433072968655333e-05
999,余り,5.032246968539217e-05
1000,大事,5.59138552059913e-06
1001,思い出,0
1002,ほら,8.104911663733106e-06
1003,近寄る,0
1004,会う,2.0851566592660773e-05
1005,質,0
1006,届ける,0.00010160652730897757
1007,夜更かし,0
1008,懺悔,0
1009,迚も,1.594500309940448e-05
1010,主教,0
1011,殿,2.9405678456846765e-05
1012,ふん,7.474145910831515e-06
1013,笑う,8.31847964517588e-05
1014,価値,0
1015,連れる,9.19010424093619e-06
1016,喜ぶ,2.657500516567413e-05
1017,釜,0
1018,貴様,0
1019,無駄,1.1684134955579224e-05
1020,攻撃,2.0980462115244195e-05
1021,傷付ける,0
1022,老体,0
1023,心苦しい,0
1024,霊,6.894711202380626e-05
1025,返す,5.257860730010651e-05
1026,目茶,6.545967019707588e-05
1027,逃がす,0
1028,ごと,0
1029,忘れる,0.0
1030,小僧,0
1031,老人,0
1032,奪う,0
1033,引き摺る,0
1034,込む,0.00011339313796078294
1035,使い魔,0
1036,む,2.0821361476922088e-05
1037,反抗,0
1038,嫌,2.5384515851934854e-05
1039,眠る,0
1040,風邪,0.00023723373365421049
1041,軽々,0
1042,背負う,0
1043,得る,6.940453825640696e-06
1044,暴れる,0
1045,ざわめく,0
1046,解決,0
1047,はあ,1.7225207185241506e-05
1048,胸元,0
1049,印,0
1050,精神,0
1051,安定,0
1052,櫓,4.063227917994225e-05
1053,蝋,0
1054,仕様,3.188717260925999e-05
1055,取れる,0
1056,休める,0
1057,頼る,0
1058,真似,8.607421008315596e-06
1059,体,4.107346254209264e-06
1060,件,1.857981052379895e-05
1061,次,1.0879078222257795e-05
1062,準備,4.284767503921844e-06
1063,整う,0
1064,苦労,1.0994022132644143e-05
1065,カツラギ,0
1066,少佐,0
1067,手際,0
1068,褒める,0
1069,光栄,0
1070,鼻持ち,0
1071,若僧,0
1072,どん底,0
1073,落ちる,3.836785375575349e-05
1074,貴族,0
1075,末裔,0
1076,皇族,0
1077,捨てる,0.00013782822090354486
1078,覚える,2.0218229330059617e-05
1079,脱走,0
1080,捕まえる,0
1081,教え子,0
1082,ばかり,7.2527188148385295e-06
1083,眩しい,0
1084,明るい,0.00018290987268177554
1085,穏やか,0
1086,御早う,7.350838448189058e-05
1087,作る,3.124635441918305e-05
1088,たら,2.447020083091197e-05
1089,洗濯,4.8965242806301543e-05
1090,洗う,4.712722195811431e-05
1091,おっと,1.0994022132644143e-05
1092,小さい,6.025194705820917e-05
1093,なんだ,0.00027869715785698427
1094,取り敢えず,2.07641034037163e-05
1095,進める,0
1096,へへへ,0
1097,大人,0
1098,八百屋,0
1099,余程,0
1100,見知り,0
1101,慣れる,3.737072955415758e-05
1102,ちゃんと,6.303820182903526e-06
1103,昨日,4.1935391404493476e-05
1104,こう,0.0
1105,問う,0.00012189683753982677
1106,許す,0
1107,人生,0
1108,答える,1.3842735602477532e-05
1109,そして,0.0
1110,約束,3.4429684033262384e-05
1111,再び,0
1112,身元,0
1113,生まれる,6.377434521851997e-06
1114,楽しみ,3.911912869890955e-05
1115,喜び,0
1116,満たす,0
1117,飢餓,0
1118,状態,0
1119,溺れる,0
1120,永遠,0
1121,長身,0
1122,媒体,0
1123,増やす,3.0484978780295923e-05
1124,帰り,8.907921718044795e-05
1125,役目,0
1126,但し,0
1127,夕べ,0
1128,最初,3.0249016891548654e-05
1129,難い,0
1130,けれど,0.0
1131,仲良く,0.00018985273000639362
1132,使用,0
1133,泥,9.793048561260309e-05
1134,塗る,0
1135,同士,3.870236827286888e-05
1136,謝る,8.269693254212692e-05
1137,殴る,0.00011147886314279371
1138,汚す,0
1139,客,2.5822263024946788e-05
1140,兄,0.0003873339453742018
1141,象,0
1142,ぁ,0.00010554424200591535
1143,売る,1.3560909286170971e-05
1144,望む,2.756564418070897e-05
1145,真っ直ぐ,2.016126332618176e-05
1146,気持ち,1.838020848187238e-05
1147,残念,1.2854302511765533e-05
1148,離れる,1.2754869043703994e-05
1149,切,0
1150,果たして,0
1151,安寧,0
1152,若い,4.647121209165851e-05
1153,ぼー,0
1154,暇,6.921367801238766e-06
1155,行成,1.494829182166303e-05
1156,色々,3.781127111443582e-05
1157,大切,0
1158,酷い,0
1159,ヒュウガ,0
1160,飛行,0
1161,見逃す,0
1162,いー,2.4477926000080037e-05
1163,触れる,0
1164,切る,9.065898518548163e-06
1165,失態,0
1166,警備,0
1167,隊,0
1168,徹底,4.21434215028561e-05
1169,指導,0
1170,見直し,0
1171,内海,0
1172,迷い込む,0
1173,報告,0
1174,どころ,2.3235606045829254e-05
1175,級,0
1176,空挺,0
1177,すら,8.607421008315596e-06
1178,破壊,0
1179,通る,1.1617803022914627e-05
1180,へへ,0
1181,骨,8.507877809557903e-05
