,Lemma,TF-IDF
913,痛め付ける,0
914,認める,9.165474707726547e-06
915,妹,0.0001532869285687541
916,読む,1.601380798684411e-05
917,感動,0
918,優秀,1.3123758128006819e-05
919,人材,0
920,権,0
921,よし,2.5831871602761615e-05
922,にゃん,0
923,固陋,0
924,ヒサシ,0
925,景色,1.6017974845374904e-05
926,有,3.770331452483998e-05
927,温柔,0
928,ユキカ,0
929,遠い,6.707880486629096e-06
930,懐,3.616180835876321e-05
931,しき,7.809006084537317e-05
932,香り,7.770161209476515e-05
933,枝,0
934,自己,1.2248218906499695e-05
935,道路,0
936,紡ぐ,0
937,道,9.589897206023756e-06
938,在,0
939,偏,0
940,狂う,0
941,眼前,0
942,一切,5.293928157193e-05
943,都,0
944,看,0
945,見える,1.5954011271838148e-06
946,灯火,0
947,コシ,0
948,是,0
949,想,0
950,得,0
951,イタル,0
952,易,0
953,失,0
954,願う,5.9257756152541694e-06
955,将,0
956,黒,4.6513149548229025e-05
957,暗,0
958,深い,2.7324812049171363e-05
959,切り裂く,8.242912521892231e-05
960,奏,0
961,歌,5.43076851772324e-05
962,温暖,0
963,涙,1.35769212943081e-05
964,流下,0
965,奏でる,0
966,賛美,0
967,温かい,0
968,零れ落ちる,0
969,限り,2.1094683442538103e-05
970,向き,0
971,仰望,0
972,天空,0
973,仁,0
974,空,1.6073165748875e-05
975,仰ぐ,0
976,歩く,2.8841264333055736e-05
977,憎い,6.681178836352841e-05
978,友,7.070440625645348e-05
979,切ない,0
980,揺れる,0
981,隙間,3.099543403821089e-05
982,そっと,9.298630211463266e-05
983,忍び込む,3.473459656957261e-05
984,孤高,0
985,王子,0
986,安らぐ,0
987,訪れる,2.1385589722005054e-05
988,只,1.6345588934618924e-05
989,一味,0
990,祈祷,0
991,尽くし,0
992,答え,1.0219128571250272e-05
993,決まる,1.1139628730178763e-05
994,血,0.0001616100098559671
995,分ける,1.4516548914326051e-05
996,得体,0
997,賢い,5.5731111523787206e-05
998,怖い,6.919982518259677e-06
